종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,업종구분,종목코드
지에스이,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,053050
한컴MDS,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,086960
피제이전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006140
신화콘텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,187270
신성델타테크,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,065350
리드,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,197210
동일금속,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,109860
레드캡투어,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,038390
티케이케미칼,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,104480
삼일,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,032280
네오팜,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,092730
고려신용정보,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,049720
삼아제약,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,009300
브이원텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,251630
이즈미디어,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,181340
KBI메탈,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,024840
지엔씨에너지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,119850
한국정보통신,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,025770
월덱스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,101160
콜마비앤에이치,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,200130
하이비젼시스템,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,126700
삼표시멘트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,038500
구영테크,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,053270
에스씨디,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,042110
수산아이앤티,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,050960
디에이치피코리아,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,131030
현우산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,092300
프럼파스트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,035200
승일,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,049830
파커스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,065690
금강철강,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,053260
유니트론텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,142210
정산애강,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,022220
미래나노텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,095500
아주IB투자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,027360
위지트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,036090
팜스토리,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,027710
한국알콜,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,017890
HB테크놀러지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,078150
블루콤,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,033560
오텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,067170
동양파일,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,228340
네오위즈홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,042420
이크레더블,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,092130
이엠텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,091120
빛샘전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,072950
현대공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,170030
바이오스마트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,038460
에스마크,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,030270
민앤지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,214180
신진에스엠,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,138070
펄어비스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,263750
아이즈비전,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,031310
화신정공,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,126640
원익머트리얼즈,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,104830
이엔에프테크놀로지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,102710
삼기오토모티브,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,122350
토탈소프트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,045340
GST,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,083450
유라테크,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,048430
아바텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,149950
퓨전,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,195440
한창산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,079170
삼일기업공사,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002290
풍강,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,093380
이녹스첨단소재,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,272290
SNK,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,950180
원익IPS,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,240810
에이치케이,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,044780
뷰웍스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,100120
신일제약,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,012790
오스템,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,031510
베스파,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,299910
대봉엘에스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,078140
대정화금,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,120240
원익QnC,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,074600
케이씨피드,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,025880
씨티케이코스메틱스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,260930
YTN,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,040300
KG모빌리언스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,046440
YW,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,051390
동일기연,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,032960
팅크웨어,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,084730
동국알앤에스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,075970
효성오앤비,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,097870
코위버,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,056360
인바디,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,041830
제이씨현시스템,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,033320
멀티캠퍼스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,067280
웹젠,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,069080
