종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,업종구분,종목코드
BGF,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,027410
제일파마홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002620
오리온홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001800
효성,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004800
HDC,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,012630
한일홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003300
케이씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,029460
한신공영,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004960
쿠쿠홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,192400
세아제강지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003030
SK디스커버리,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006120
동부건설,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005960
크라운해태홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005740
한화손해보험,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000370
삼호,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001880
HDC현대산업개발,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,294870
한국토지신탁,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,034830
대한유화,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006650
계룡건설산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,013580
한화생명,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,088350
한국자산신탁,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,123890
신세계건설,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,034300
세아홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,058650
롯데손해보험,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000400
경동인베스트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,012320
흥국화재,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000540
DGB금융지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,139130
화성산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002460
메리츠금융지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,138040
지누스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,013890
대한화섬,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003830
디와이파워,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,210540
롯데케미칼,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,011170
일동홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000230
애경유화,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,161000
휴스틸,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005010
강남제비스코,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000860
제주은행,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006220
세아제강,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,306200
경동도시가스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,267290
아이에스동서,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010780
현대해상,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001450
서연이화,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,200880
메리츠화재,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000060
교보증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,030610
BNK금융지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,138930
세이브존I&C,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,067830
AK홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006840
JB금융지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,175330
유진증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001200
기업은행,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,024110
휴니드테크놀러지스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005870
넥센,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005720
사조대림,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003960
KTB투자증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,030210
대한해운,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005880
롯데하이마트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,071840
황금에스티,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,032560
금강공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,014280
아세아,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002030
현대제철,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004020
DB금융투자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,016610
DB손해보험,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005830
LS,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006260
무림페이퍼,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,009200
동양생명,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,082640
세아베스틸,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001430
GS,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,078930
SK하이닉스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000660
사조산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,007160
영보화학,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,014440
세방,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004360
티웨이홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004870
풍산홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005810
하나금융지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,086790
한일시멘트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,300720
DRB동일,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004840
현대차증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001500
상신브레이크,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,041650
일신방직,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003200
대한제분,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001130
미원홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,107590
포스코강판,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,058430
영원무역홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,009970
신대양제지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,016590
한국테크놀로지그룹,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000240
KISCO홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001940
현대비앤지스틸,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004560
LF,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,093050
신라교역,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004970
HDC현대EP,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,089470
한화,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000880
에스제이엠홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,025530
현대리바트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,079430
유성기업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002920
디티알오토모티브,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,007340
SIMPAC,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,009160
미래에셋생명,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,085620
삼호개발,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010960
광주신세계,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,037710
